Price,Close,High,Low,Open,Volume,MA50,MA200,RSI,MACD,BB_High,BB_Low
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F,,,,,,
Datetime,,,,,,,,,,,
2024-01-02 05:00:00+00:00,2083.199951171875,2084.0,2078.39990234375,2078.699951171875,4161,,,,,,
2024-01-02 06:00:00+00:00,2082.699951171875,2085.699951171875,2081.5,2083.199951171875,4863,,,,,,
2024-01-02 07:00:00+00:00,2082.10009765625,2085.10009765625,2081.89990234375,2082.699951171875,5491,,,,,,
2024-01-02 08:00:00+00:00,2082.199951171875,2083.39990234375,2081.10009765625,2082.10009765625,6647,,,,,,
2024-01-02 09:00:00+00:00,2086.10009765625,2088.10009765625,2082.199951171875,2082.300048828125,6302,,,,,,
2024-01-02 10:00:00+00:00,2085.0,2086.89990234375,2082.60009765625,2086.199951171875,6155,,,,,,
2024-01-02 11:00:00+00:00,2078.199951171875,2085.300048828125,2077.10009765625,2085.0,9190,,,,,,
2024-01-02 12:00:00+00:00,2076.89990234375,2078.39990234375,2073.800048828125,2078.10009765625,8084,,,,,,
2024-01-02 13:00:00+00:00,2075.10009765625,2080.0,2073.5,2076.699951171875,11940,,,,,,
2024-01-02 14:00:00+00:00,2079.39990234375,2079.39990234375,2071.0,2075.300048828125,16180,,,,,,
2024-01-02 15:00:00+00:00,2068.199951171875,2079.699951171875,2064.300048828125,2079.39990234375,22049,,,,,,
2024-01-02 16:00:00+00:00,2074.89990234375,2076.0,2068.0,2068.199951171875,11156,,,,,,
2024-01-02 17:00:00+00:00,2071.5,2075.89990234375,2070.60009765625,2075.0,5811,,,,,,
2024-01-02 18:00:00+00:00,2069.89990234375,2073.800048828125,2069.199951171875,2071.60009765625,6470,,,34.50087069845969,,,
2024-01-02 19:00:00+00:00,2069.60009765625,2070.89990234375,2069.10009765625,2069.89990234375,2286,,,34.15571800592542,,,
2024-01-02 20:00:00+00:00,2067.10009765625,2070.39990234375,2066.800048828125,2069.699951171875,3908,,,31.340134934531534,,,
2024-01-02 21:00:00+00:00,2067.60009765625,2068.0,2066.800048828125,2067.199951171875,1747,,,32.537921188479174,,,
2024-01-02 23:00:00+00:00,2067.800048828125,2068.39990234375,2067.199951171875,2067.89990234375,0,,,33.04098613974807,,,
2024-01-03 00:00:00+00:00,2068.699951171875,2070.300048828125,2067.39990234375,2067.699951171875,3029,,,35.37664782216204,,,
2024-01-03 01:00:00+00:00,2070.60009765625,2070.800048828125,2067.89990234375,2068.699951171875,4422,,,40.12580919666598,,2088.1823108924764,2062.4976939903363
2024-01-03 02:00:00+00:00,2073.0,2073.39990234375,2069.800048828125,2070.60009765625,3667,,,45.56685113934252,,2087.1841078364623,2062.4759019291623
2024-01-03 03:00:00+00:00,2073.39990234375,2073.89990234375,2071.5,2072.89990234375,2316,,,46.4402765160568,,2086.1878945767185,2062.5421103060944
2024-01-03 04:00:00+00:00,2072.89990234375,2073.800048828125,2072.699951171875,2073.39990234375,1181,,,45.45813360430273,,2085.1920342087974,2062.617951142765
2024-01-03 05:00:00+00:00,2072.5,2074.300048828125,2071.60009765625,2073.0,2195,,,44.64489070081914,,2084.054370963192,2062.7856192711834
2024-01-03 06:00:00+00:00,2072.699951171875,2073.699951171875,2071.60009765625,2072.300048828125,2299,,,45.173040996750586,,2081.6517293614743,2063.848246224463
2024-01-03 07:00:00+00:00,2071.300048828125,2072.60009765625,2069.10009765625,2072.5,4983,,,42.14146855177122,-2.1139060401046663,2078.976720923371,2065.1532595453787
2024-01-03 08:00:00+00:00,2068.300048828125,2072.60009765625,2067.0,2071.10009765625,5819,,,36.48989443334237,-2.258797002614756,2078.058396158324,2065.081594076051
2024-01-03 09:00:00+00:00,2065.0,2068.800048828125,2062.300048828125,2068.300048828125,7517,,,31.4874621875243,-2.6098260449712143,2077.5806533569307,2064.369346643069
2024-01-03 10:00:00+00:00,2063.0,2065.39990234375,2060.60009765625,2064.89990234375,5502,,,28.901493799022077,-3.0146513511485864,2077.5454652414583,2063.1945249929167
2024-01-03 11:00:00+00:00,2055.699951171875,2063.800048828125,2054.699951171875,2063.0,10447,,,21.848326532525732,-3.879807251380953,2077.7058359924695,2060.664159124718
